config,ic_name,direction,proved
cvc4_tplanes_saturate_no_e_matching,bvslt_bvneg,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvnot,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvnot,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvor,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvor,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvshl0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvshl0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvshl1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvshl1,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvudiv0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvudiv0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvudiv1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvudiv1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvurem0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvurem0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvurem1,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvurem1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvadd,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvadd,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvand,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvand,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvuge_bvashr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvashr0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvashr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvuge_bvashr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvuge_bvlshr0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvuge_bvlshr0,rtl,yes
