encoding,ic_name,direction,proved
partial,eq_bvshl0,ltr,yes
partial,eq_bvshl0,rtl,no
partial,eq_bvshl1,ltr,no
partial,eq_bvshl1,rtl,yes
partial,eq_bvudiv0,ltr,yes
partial,eq_bvudiv0,rtl,yes
partial,eq_bvudiv1,ltr,no
partial,eq_bvudiv1,rtl,no
partial,eq_bvurem0,ltr,yes
partial,eq_bvurem0,rtl,yes
partial,eq_bvurem1,ltr,no
partial,eq_bvurem1,rtl,no
partial,ne_bvadd,ltr,yes
partial,ne_bvadd,rtl,yes
partial,ne_bvand,ltr,no
partial,ne_bvand,rtl,yes
partial,ne_bvashr0,ltr,yes
partial,ne_bvashr0,rtl,yes
partial,ne_bvashr1,ltr,no
partial,ne_bvashr1,rtl,yes
partial,ne_bvlshr0,ltr,yes
partial,ne_bvlshr0,rtl,yes
partial,ne_bvlshr1,ltr,no
partial,ne_bvlshr1,rtl,yes
partial,ne_bvmul,ltr,no
partial,ne_bvmul,rtl,yes
partial,ne_bvneg,ltr,yes
partial,ne_bvneg,rtl,yes
partial,ne_bvnot,ltr,yes
partial,ne_bvnot,rtl,yes
partial,ne_bvor,ltr,no
partial,ne_bvor,rtl,yes
partial,ne_bvshl0,ltr,no
partial,ne_bvshl0,rtl,yes
partial,ne_bvshl1,ltr,no
partial,ne_bvshl1,rtl,yes
partial,ne_bvudiv0,ltr,yes
partial,ne_bvudiv0,rtl,yes
partial,ne_bvudiv1,ltr,yes
partial,ne_bvudiv1,rtl,yes
partial,ne_bvurem0,ltr,yes
partial,ne_bvurem0,rtl,yes
partial,ne_bvurem1,ltr,yes
partial,ne_bvurem1,rtl,yes
qf,bvsge_bvadd,ltr,no
qf,bvsge_bvadd,rtl,yes
qf,bvsge_bvand,ltr,no
qf,bvsge_bvand,rtl,no
qf,bvsge_bvashr0,ltr,yes
qf,bvsge_bvashr0,rtl,no
qf,bvsge_bvashr1,ltr,no
qf,bvsge_bvashr1,rtl,yes
qf,bvsge_bvlshr0,ltr,yes
qf,bvsge_bvlshr0,rtl,no
qf,bvsge_bvlshr1,ltr,no
qf,bvsge_bvlshr1,rtl,yes
qf,bvsge_bvmul,ltr,no
qf,bvsge_bvmul,rtl,no
qf,bvsge_bvneg,ltr,no
qf,bvsge_bvneg,rtl,yes
qf,bvsge_bvnot,ltr,yes
qf,bvsge_bvnot,rtl,yes
qf,bvsge_bvor,ltr,no
qf,bvsge_bvor,rtl,no
qf,bvsge_bvshl0,ltr,no
qf,bvsge_bvshl0,rtl,no
qf,bvsge_bvshl1,ltr,no
qf,bvsge_bvshl1,rtl,no
qf,bvsge_bvudiv0,ltr,no
qf,bvsge_bvudiv0,rtl,yes
qf,bvsge_bvudiv1,ltr,no
qf,bvsge_bvudiv1,rtl,yes
qf,bvsge_bvurem0,ltr,yes
qf,bvsge_bvurem0,rtl,yes
qf,bvsge_bvurem1,ltr,no
qf,bvsge_bvurem1,rtl,yes
qf,bvsgt_bvadd,ltr,yes
qf,bvsgt_bvadd,rtl,yes
qf,bvsgt_bvand,ltr,no
qf,bvsgt_bvand,rtl,no
qf,bvsgt_bvashr0,ltr,yes
qf,bvsgt_bvashr0,rtl,no
qf,bvsgt_bvashr1,ltr,no
qf,bvsgt_bvashr1,rtl,no
qf,bvsgt_bvlshr0,ltr,yes
qf,bvsgt_bvlshr0,rtl,no
qf,bvsgt_bvlshr1,ltr,no
qf,bvsgt_bvlshr1,rtl,no
qf,bvsgt_bvmul,ltr,no
qf,bvsgt_bvmul,rtl,no
qf,bvsgt_bvneg,ltr,yes
qf,bvsgt_bvneg,rtl,yes
qf,bvsgt_bvnot,ltr,yes
qf,bvsgt_bvnot,rtl,yes
qf,bvsgt_bvor,ltr,no
qf,bvsgt_bvor,rtl,no
qf,bvsgt_bvshl0,ltr,no
qf,bvsgt_bvshl0,rtl,no
qf,bvsgt_bvshl1,ltr,no
qf,bvsgt_bvshl1,rtl,no
qf,bvsgt_bvudiv0,ltr,no
qf,bvsgt_bvudiv0,rtl,no
qf,bvsgt_bvudiv1,ltr,no
qf,bvsgt_bvudiv1,rtl,yes
qf,bvsgt_bvurem0,ltr,yes
qf,bvsgt_bvurem0,rtl,yes
qf,bvsgt_bvurem1,ltr,no
qf,bvsgt_bvurem1,rtl,yes
qf,bvsle_bvadd,ltr,no
qf,bvsle_bvadd,rtl,yes
qf,bvsle_bvand,ltr,no
qf,bvsle_bvand,rtl,no
qf,bvsle_bvashr0,ltr,yes
qf,bvsle_bvashr0,rtl,no
qf,bvsle_bvashr1,ltr,no
qf,bvsle_bvashr1,rtl,yes
qf,bvsle_bvlshr0,ltr,yes
qf,bvsle_bvlshr0,rtl,no
